name	acquisition.price_amount	image.available_sizes[1]	image.available_sizes[1][1]	_id
"Brainwave Apps"				{ "$oid" : "52cdef7e4bab8bd67529b4bf" }
"Owlient"		 [ [ 210, 86 ], "assets/images/resized/0005/1878/51878v2-max-250x250.jpg" ]	 "assets/images/resized/0005/1878/51878v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4c0" }
"DecalDriveway"		 [ [ 125, 125 ], "assets/images/resized/0005/8688/58688v2-max-250x250.jpg" ]	 "assets/images/resized/0005/8688/58688v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4c1" }
"StickyStreet"		 [ [ 250, 250 ], "assets/images/resized/0003/9220/39220v7-max-250x250.jpg" ]	 "assets/images/resized/0003/9220/39220v7-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4c2" }
"ividence"		 [ [ 250, 107 ], "assets/images/resized/0003/9221/39221v5-max-250x250.png" ]	 "assets/images/resized/0003/9221/39221v5-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4c3" }
"Cloud Testing"		 [ [ 113, 50 ], "assets/images/resized/0003/9222/39222v2-max-250x250.png" ]	 "assets/images/resized/0003/9222/39222v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4c4" }
"HFM"				{ "$oid" : "52cdef7e4bab8bd67529b4c5" }
"livetranslation"				{ "$oid" : "52cdef7e4bab8bd67529b4c6" }
"tolingo"		 [ [ 250, 69 ], "assets/images/resized/0003/9225/39225v6-max-250x250.jpg" ]	 "assets/images/resized/0003/9225/39225v6-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4c7" }
"Identec Solutions"		 [ [ 206, 70 ], "assets/images/resized/0003/9227/39227v1-max-250x250.jpg" ]	 "assets/images/resized/0003/9227/39227v1-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4c8" }
"Axcient"		 [ [ 250, 179 ], "assets/images/resized/0003/9231/39231v3-max-250x250.jpg" ]	 "assets/images/resized/0003/9231/39231v3-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4c9" }
"IBWIRE Inc"		 [ [ 250, 87 ], "assets/images/resized/0003/9234/39234v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9234/39234v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4ca" }
"Helpalot"				{ "$oid" : "52cdef7e4bab8bd67529b4cb" }
"eToys"				{ "$oid" : "52cdef7e4bab8bd67529b4cc" }
"iPhone Dev SDK"				{ "$oid" : "52cdef7e4bab8bd67529b4cd" }
"AppleInsider"				{ "$oid" : "52cdef7e4bab8bd67529b4ce" }
"TechNest Report"		 [ [ 215, 250 ], "assets/images/resized/0003/9249/39249v2-max-250x250.png" ]	 "assets/images/resized/0003/9249/39249v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4cf" }
"Azteria"		 [ [ 200, 80 ], "assets/images/resized/0003/9252/39252v2-max-250x250.png" ]	 "assets/images/resized/0003/9252/39252v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4d0" }
"GyanVihar Universe, Jaipur"				{ "$oid" : "52cdef7e4bab8bd67529b4d1" }
"Dataresolve Technologies"		 [ [ 180, 180 ], "assets/images/resized/0003/9256/39256v6-max-250x250.jpg" ]	 "assets/images/resized/0003/9256/39256v6-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4d2" }
"GlobalCityBreak"		 [ [ 147, 90 ], "assets/images/resized/0003/9263/39263v2-max-250x250.png" ]	 "assets/images/resized/0003/9263/39263v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4d3" }
"Move Marketing"	null			{ "$oid" : "52cdef7e4bab8bd67529b4d4" }
"Foreign Translations"		 [ [ 250, 35 ], "assets/images/resized/0003/9266/39266v2-max-250x250.png" ]	 "assets/images/resized/0003/9266/39266v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4d5" }
"CitiAlly"		 [ [ 250, 80 ], "assets/images/resized/0018/9522/189522v2-max-250x250.png" ]	 "assets/images/resized/0018/9522/189522v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4d6" }
"Crucial"				{ "$oid" : "52cdef7e4bab8bd67529b4d7" }
"Kingston"		 [ [ 250, 73 ], "assets/images/resized/0009/0029/90029v2-max-250x250.png" ]	 "assets/images/resized/0009/0029/90029v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4d8" }
"Lifetime Memory Products, Inc"		 [ [ 100, 40 ], "assets/images/resized/0003/9271/39271v3-max-250x250.png" ]	 "assets/images/resized/0003/9271/39271v3-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4d9" }
